Subject_Area,Year,Count
MEDI,2018,1053
MEDI,2019,1251
MEDI,2020,1283
MEDI,2021,1593
MEDI,2022,1736
MEDI,2023,1193
ENGI,2018,619
ENGI,2019,669
ENGI,2020,720
ENGI,2021,736
ENGI,2022,819
ENGI,2023,609
COMP,2018,514
COMP,2019,815
COMP,2020,579
COMP,2021,622
COMP,2022,914
COMP,2023,541
BIOC,2018,505
BIOC,2019,506
BIOC,2020,534
BIOC,2021,642
BIOC,2022,675
BIOC,2023,536
CHEM,2018,386
CHEM,2019,434
CHEM,2020,465
CHEM,2021,626
CHEM,2022,695
CHEM,2023,516
MATE,2018,445
MATE,2019,460
MATE,2020,518
MATE,2021,534
MATE,2022,525
MATE,2023,470
ENVI,2018,299
ENVI,2019,358
ENVI,2020,484
ENVI,2021,595
ENVI,2022,662
ENVI,2023,484
AGRI,2018,319
AGRI,2019,319
AGRI,2020,428
AGRI,2021,463
AGRI,2022,558
AGRI,2023,431
PHYS,2018,423
PHYS,2019,414
PHYS,2020,390
PHYS,2021,428
PHYS,2022,374
PHYS,2023,284
SOCI,2018,214
SOCI,2019,268
SOCI,2020,323
SOCI,2021,423
SOCI,2022,493
SOCI,2023,326
ENER,2018,157
ENER,2019,275
ENER,2020,329
ENER,2021,362
ENER,2022,454
ENER,2023,268
